layer,n,stat,p_value
0,5,5.0,0.625
1,5,5.0,0.625
2,5,6.0,0.8125
3,5,4.0,0.4375
4,5,5.0,0.625
5,5,5.0,0.625
6,5,0.0,0.0625
7,5,0.0,0.0625
8,5,1.0,0.125
9,5,6.0,0.8125
10,5,6.0,0.8125
11,5,3.0,0.3125
12,5,6.0,0.8125
13,5,7.0,1.0
14,5,6.0,0.8125
15,5,6.0,0.8125
16,5,1.0,0.125
17,5,3.0,0.3125
18,5,3.0,0.3125
19,5,0.0,0.0625
20,5,1.0,0.125
21,5,2.0,0.1875
22,5,2.0,0.1875
23,5,0.0,0.0625
24,5,1.0,0.125
25,5,0.0,0.0625
26,5,0.0,0.0625
27,5,0.0,0.0625
28,5,2.0,0.1875
29,5,1.0,0.125
30,5,0.0,0.0625
31,5,7.0,1.0
